Field=#~Integer~#~50|Field=Comment~String~Comment~99|Field=Description~String~Description~99|Field=Designator~String~Designator~99|Field=Footprint~String~Footprint~99|Field=LibRef~String~LibRef~99|Field=Quantity~Integer~Quantity~99|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\PCB_Project\PCB_Project.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [LEDPCB1.PcbDoc]|ReportField=TotalQuantity~3|ReportField=ReportTime~오후 2:55:21|ReportField=ReportDate~2021-03-20|ReportField=ReportDateTime~2021-03-20 오후 2:55:21|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~LEDPCB1.PcbDoc|ReportField=DataSourceFullPath~C:\3학년 1학기 전공\회로패턴설계\LEDPCB1.PcbDoc
1|LED2|Typical RED, GREEN, YELLOW, AMBER GaAs LED|D1|3.2X1.6X1.1|LED2|1
2|Header 2|Header, 2-Pin|P1|HDR1X2|Header 2|1
3|Res1|Resistor|R1|AXIAL-0.3|Res1|1
